step,value
raw_shape,32581x12
drop_duplicates,165
drop_target_na,0
age_lt_18_to_nan,0
age_gt_100_to_nan,5
income_non_positive_to_nan,0
emp_length_negative_to_nan,0
emp_length_gt_60_to_nan,2
loan_amnt_non_positive_to_nan,0
loan_int_rate_out_of_range_to_nan,0
loan_percent_income_out_of_range_to_nan,9
cred_hist_negative_to_nan,0
cred_hist_gt_80_to_nan,0
numeric_missing_before,3998
numeric_missing_after,0
categorical_missing_before,0
categorical_missing_after,0
final_shape,32416x12
default_rate,0.218688
